,FIRM,K,KT,KINT,SALES,ASSETS,INV,INVT,INVINT,LINV,LINVT,LINVINT,INVSALES,INVTSALES,INVINTSALES,INVK,INVTK,INVINTK,INVA,INVTA,INVINTA,LC,SC,LCSALES,SCSALES,EMPL,CR,AGE,LEMPL,LWAGE,smallm,largem,high,low,fclowm,fchighm,treat,notreat,snotreat,snotreat2,snotreat3,score,s,s2,s3,ssmall,ssmall2,ssmall3,slarge,slarge2,slarge3,treatsmall,streatsmall,streatsmall2,streatsmall3,treatlarge,streatlarge,streatlarge2,streatlarge3,treath,streath,streath2,streath3,streath4,treatl,streatl,streatl2,streatl3,streatl4,treatsmallh,streatsmallh,streatsmallh2,streatsmallh3,treatlargeh,streatlargeh,streatlargeh2,streatlargeh3,treatsmalll,streatsmalll,streatsmalll2,streatsmalll3,treatlargel,streatlargel,streatlargel2,streatlargel3,fclow,fchigh,sfclow,sfclow2,sfclow3,sfchigh,sfchigh2,sfchigh3,treatfclow,streatfclow,streatfclow2,streatfclow3,treatfchigh,streatfchigh,streatfchigh2,streatfchigh3,streat,streat2,streat3
200,201.0,2710.0,2655.0,55.0,15153.0,24021.0,2485.0,1860.0,625.0,11.574481,10.722496,11.68797,0.16399392,0.12274797,0.04124596,0.9169742,0.6863469,0.23062731,0.10345115,0.077432245,0.0260189,12476.0,15983.0,0.8233353,1.0547746,354.0,,1985.0626,5.869297,3.5622652,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-3.0,9.0,-27.0,72.0,-3.0,9.0,-27.0,0.0,0.0,0.0,-3.0,9.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,9.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,202.0,3567.0,3523.0,44.0,13061.0,24021.0,2998.0,2390.0,608.0,11.579293,10.734112,11.687828,0.22953832,0.18298753,0.0465508,0.8404822,0.67003083,0.17045136,0.12480746,0.099496275,0.025311187,15076.0,18812.0,1.1542761,1.4403185,432.0,,1985.0626,6.0684257,3.5524337,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,4.0,-8.0,73.0,-2.0,4.0,-8.0,0.0,0.0,0.0,-2.0,4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0,4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,203.0,10.0,8.0,2.0,1960.0,802.0,10.0,12.0,-2.0,11.550934,10.680907,11.6826935,0.0051020407,0.006122449,-0.0010204081,1.0,1.2,-0.2,0.012468828,0.014962593,-0.0024937657,164.0,1734.0,0.08367347,0.88469386,4.0,,1995.0404,1.3862944,3.713572,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-44.0,1936.0,-85184.0,31.0,-44.0,1936.0,-85184.0,-44.0,1936.0,-85184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-44.0,1936.0,-85184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,204.0,487772.0,480260.0,7512.0,1863889.0,1795366.0,55137.0,19479.0,35658.0,11.9766655,11.050636,11.9457655,0.029581698,0.010450729,0.019130968,0.113038465,0.039934643,0.07310383,0.030710729,0.010849599,0.019861132,771128.0,2413100.0,0.41371992,1.2946587,14317.0,0.41094726,1988.1012,9.569203,3.9864068,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,92.0,17.0,289.0,4913.0,0.0,0.0,0.0,17.0,289.0,4913.0,0.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,1.0,17.0,289.0,4913.0,83521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,17.0,289.0,4913.0,0.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,17.0,289.0,4913.0
204,205.0,39.0,35.0,4.0,3021.0,3497.0,54.0,30.0,24.0,11.551357,10.68132,11.682913,0.017874876,0.009930487,0.007944389,1.3846154,0.7692308,0.61538464,0.015441807,0.008578782,0.0068630255,1334.0,2614.0,0.44157565,0.8652764,,,1989.1003,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-16.0,256.0,-4096.0,59.0,-16.0,256.0,-4096.0,-16.0,256.0,-4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-16.0,256.0,-4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,206.0,85.0,83.0,2.0,2562.0,3497.0,-24.0,-43.0,19.0,11.550607,10.679643,11.682871,-0.009367681,-0.016783763,0.007416081,-0.28235295,-0.5058824,0.22352941,-0.0068630255,-0.012296254,0.0054332283,1336.0,2711.0,0.5214676,1.0581577,,,1989.1003,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-5.0,25.0,-125.0,70.0,-5.0,25.0,-125.0,-5.0,25.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-5.0,25.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,207.0,15539.0,15205.0,334.0,38723.0,59042.0,-3122.0,-2871.0,-251.0,11.520318,10.61236,11.68059,-0.08062392,-0.07414198,-0.0064819357,-0.20091383,-0.18476093,-0.016152905,-0.052877612,-0.0486264,-0.004251211,12271.0,23762.0,0.31689176,0.6136405,226.0,0.35394737,1998.052,5.420535,3.994459,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,89.0,14.0,196.0,2744.0,0.0,0.0,0.0,14.0,196.0,2744.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,38416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,,,0.0,0.0,0.0,14.0,196.0,2744.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,14.0,196.0,2744.0
207,208.0,2590.0,2539.0,51.0,5332.0,10231.0,-417.0,-390.0,-27.0,11.546815,10.671626,11.682483,-0.07820705,-0.07314329,-0.005063766,-0.16100386,-0.15057915,-0.010424711,-0.04075848,-0.038119443,-0.0026390383,2926.0,3559.0,0.5487622,0.6674794,,,1990.0103,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-5.0,25.0,-125.0,70.0,-5.0,25.0,-125.0,-5.0,25.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-5.0,25.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,209.0,1270.0,809.0,461.0,3288.0,2861.0,220.0,533.0,-313.0,11.552954,10.692808,11.680066,0.06690998,0.16210462,-0.095194645,0.17322835,0.41968504,-0.2464567,0.07689619,0.1862985,-0.10940231,3030.0,4169.0,0.92153287,1.2679441,,0.4688057,1997.011,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,92.0,17.0,289.0,4913.0,17.0,289.0,4913.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,0.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,83521.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,17.0,289.0,4913.0,0.0,0.0,0.0,0.0,1.0,17.0,289.0,4913.0,17.0,289.0,4913.0
209,210.0,378.0,55.0,323.0,1177.0,1473.0,201.0,-2.0,203.0,11.552771,10.680585,11.684422,0.17077315,-0.0016992353,0.17247239,0.53174603,-0.005291005,0.537037,0.1364562,-0.0013577732,0.13781399,597.0,3832.0,0.50722176,3.255735,,0.38473624,,,,1.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0
210,211.0,3373.0,2971.0,402.0,36245.0,23297.0,81.0,253.0,-172.0,11.551618,10.68643,11.681258,0.002234791,0.006980273,-0.004745482,0.02401423,0.07500741,-0.05099318,0.0034768425,0.010859767,-0.0073829247,13799.0,27320.0,0.3807146,0.75375915,282.0,0.41699028,1990.033,5.641907,3.8904443,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,2.0,4.0,8.0,0.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,1.0,2.0,4.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,2.0,4.0,8.0
211,212.0,1262.0,1233.0,29.0,3580.0,3593.0,455.0,437.0,18.0,11.555209,10.690626,11.682862,0.12709497,0.12206704,0.005027933,0.36053884,0.34627575,0.014263075,0.12663512,0.121625386,0.005009741,2409.0,3685.0,0.672905,1.0293297,,0.42081672,1990.0413,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,95.0,20.0,400.0,8000.0,20.0,400.0,8000.0,0.0,0.0,0.0,1.0,20.0,400.0,8000.0,0.0,0.0,0.0,0.0,1.0,20.0,400.0,8000.0,160000.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,400.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,20.0,400.0,8000.0,0.0,0.0,0.0,0.0,1.0,20.0,400.0,8000.0,20.0,400.0,8000.0
212,213.0,474.0,385.0,89.0,1608.0,2232.0,21.0,92.0,-71.0,11.55104,10.682744,11.682111,0.013059702,0.05721393,-0.04415423,0.044303797,0.19409283,-0.14978904,0.0094086025,0.04121864,-0.031810034,1088.0,1535.0,0.6766169,0.954602,,,1997.0319,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,4.0,-8.0,73.0,-2.0,4.0,-8.0,-2.0,4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-2.0,4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,214.0,2969.0,2268.0,701.0,7541.0,10724.0,269.0,-120.0,389.0,11.553424,10.677869,11.685987,0.035671663,-0.01591301,0.051584672,0.0906029,-0.04041765,0.13102055,0.025083924,-0.011189855,0.036273777,4674.0,7431.0,0.6198117,0.9854131,133.0,,1991.0104,4.890349,3.5594213,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,74.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,215.0,4591.0,4414.0,177.0,8982.0,11162.0,280.0,42.0,238.0,11.55353,10.681596,11.684717,0.031173458,0.004676019,0.026497439,0.060988892,0.009148334,0.05184056,0.02508511,0.0037627665,0.021322343,7958.0,5296.0,0.8859942,0.5896237,165.0,0.3443526,1991.0104,5.1059456,3.8759875,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,88.0,13.0,169.0,2197.0,0.0,0.0,0.0,13.0,169.0,2197.0,0.0,0.0,0.0,0.0,1.0,13.0,169.0,2197.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,169.0,2197.0,28561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,169.0,2197.0,,,0.0,0.0,0.0,13.0,169.0,2197.0,0.0,0.0,0.0,0.0,1.0,13.0,169.0,2197.0,13.0,169.0,2197.0
215,216.0,87575.0,58255.0,29320.0,321176.0,219137.0,-18081.0,-3865.0,-14216.0,11.359576,10.587594,11.554921,-0.056296237,-0.0120339,-0.044262335,-0.20646304,-0.0441336,-0.16232944,-0.082510024,-0.017637368,-0.06487266,110459.0,107044.0,0.34392047,0.33328766,1979.0,0.3443526,,7.590347,4.022053,0.0,1.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,93.0,18.0,324.0,5832.0,0.0,0.0,0.0,18.0,324.0,5832.0,0.0,0.0,0.0,0.0,1.0,18.0,324.0,5832.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,324.0,5832.0,104976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,324.0,5832.0,,,,,,,,,,,,,,,,,18.0,324.0,5832.0
216,217.0,18.0,17.0,1.0,1938.0,1009.0,112.0,28.0,84.0,11.551915,10.681274,11.683419,0.05779154,0.014447885,0.043343652,6.2222223,1.5555556,4.6666665,0.11100099,0.027750248,0.083250746,1054.0,1578.0,0.54385966,0.81424147,,0.43470588,1998.0128,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,2.0,4.0,8.0,2.0,4.0,8.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,2.0,4.0,8.0
217,218.0,174.0,100.0,74.0,2942.0,1432.0,17.0,56.0,-39.0,11.551002,10.681917,11.682382,0.005778382,0.01903467,-0.013256288,0.09770115,0.3218391,-0.22413793,0.011871508,0.039106146,-0.027234636,2019.0,3624.0,0.68626785,1.2318151,,0.3883721,1992.013,,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
